id,alert_type,severity,status,title,description,machine_id,component_id,inventory_item_id,line_id,triggered_at,acknowledged_at,acknowledged_by,resolved_at,dedupe_key,created_at,updated_at
348214fd-5794-5858-a8da-2509cd334aad,LOW_INVENTORY,WARNING,OPEN,Reorder due: Aluminium Alloy,"Aluminium Alloy has fallen to 9,200 kg, below the reorder point of 9,500. Raise a purchase order to cover the 28-day lead time.",,,2169381c-ff2a-59b4-8908-ddc43a2269dd,,2026-09-05T10:30:00+00:00,,,,inventory:low:RM-ALU-ALLOY,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
9426fe04-67ba-5a5a-9d17-29c861b8d436,CRITICAL_INVENTORY,CRITICAL,OPEN,Critical stock: Bearing Assemblies,"Bearing Assemblies is at 850 units, at or below the minimum of 1,200. Supplier lead time is 35 days; production on dependent lines is at risk.",,,e156dee8-6f93-517e-902e-7d6907071714,,2026-09-05T21:30:00+00:00,,,,inventory:critical:CP-BEARING-ASSY,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
9278a177-747c-54b6-abbd-bcf0ef981c06,CRITICAL_INVENTORY,CRITICAL,OPEN,Critical stock: Lubricant,"Lubricant is at 310 litres, at or below the minimum of 400. Supplier lead time is 14 days; production on dependent lines is at risk.",,,b5d65a82-db38-5c4d-89b7-4407049c8cb8,,2026-09-05T21:30:00+00:00,,,,inventory:critical:CS-LUBRICANT,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
ce40c923-c5e6-59b7-b654-1bb96a0f4158,LOW_INVENTORY,WARNING,OPEN,Reorder due: Cutting Inserts,"Cutting Inserts has fallen to 1,640 units, below the reorder point of 1,800. Raise a purchase order to cover the 25-day lead time.",,,562c6456-2394-581a-ad13-a9b1791ac6ca,,2026-09-05T10:30:00+00:00,,,,inventory:low:CS-CUT-INSERT,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
08f7b04e-0022-591a-ad7e-0d415f15815e,MAINTENANCE_DUE,WARNING,ACKNOWLEDGED,HTU-H-007 under maintenance,Heat Treatment Unit 7 is withdrawn from service for unplanned corrective maintenance. Output for the line is reduced until it returns.,b0779bdc-52ba-5df5-aa12-69c43b81d58c,,,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,2026-09-04T06:30:00+00:00,2026-09-04T07:30:00+00:00,83539ded-237c-5b9b-a4f9-22db68f2bb3b,,machine:maintenance:HTU-H-007,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
9c9ba6e1-45eb-516f-95ab-10e78ef34eb1,MACHINE_OFFLINE,CRITICAL,OPEN,VMC-V-010 offline,Vertical Machining Center 10 has been offline since 2026-08-31. A spindle drive fault is awaiting a replacement part; the line is running short-handed.,fcb95d61-dbd4-50e9-ae34-a972811f6987,,,d0d1c5ae-5804-564b-93f3-4f8197e88acc,2026-08-31T06:30:00+00:00,,,,machine:offline:VMC-V-010,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
16d8e65d-28f5-511c-acc9-5a3f3c9196af,MAINTENANCE_DUE,WARNING,ACKNOWLEDGED,ASM-A-014 under maintenance,Assembly Station 14 is withdrawn from service for unplanned corrective maintenance. Output for the line is reduced until it returns.,d76b5a1a-8d30-571b-b86b-90c6706f4108,,,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,2026-09-04T06:30:00+00:00,2026-09-04T07:30:00+00:00,83539ded-237c-5b9b-a4f9-22db68f2bb3b,,machine:maintenance:ASM-A-014,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
c3422632-0488-577f-8d31-4b3d7ec8f2a5,HIGH_DEFECT_RATE,WARNING,RESOLVED,Elevated defect rate on Steering Knuckle,Steering Knuckle rejection rates ran roughly three times the normal level for eight days. Dimensional out-of-tolerance was the dominant category. The cause was traced to tool wear on the Line C milling centre and corrected.,,7a7a3fdb-6391-53f9-8bd9-df3407629f76,,d0d1c5ae-5804-564b-93f3-4f8197e88acc,2026-08-12T06:30:00+00:00,2026-08-12T07:30:00+00:00,83539ded-237c-5b9b-a4f9-22db68f2bb3b,2026-08-12T11:30:00+00:00,quality:defect-spike:STR-KNUCKLE,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
0a8f2acb-dde4-5561-9977-ad4437d106f7,PRODUCTION_TARGET_RISK,WARNING,OPEN,Line C at risk of missing today's target,Line C is tracking below its daily target with one machine offline. Consider redistributing steering knuckle volume to the remaining machining centre.,,,,d0d1c5ae-5804-564b-93f3-4f8197e88acc,2026-09-06T03:30:00+00:00,,,,production:target-risk:LINE-C,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
9fd757e2-1a55-5c9c-ba4f-06f705491e52,MAINTENANCE_DUE,INFO,ACKNOWLEDGED,Planned maintenance window on Line B,The heat treatment unit is scheduled for its next preventive service. Plan drivetrain throughput around the window.,,,,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,2026-09-05T00:30:00+00:00,2026-09-05T01:30:00+00:00,83539ded-237c-5b9b-a4f9-22db68f2bb3b,,maintenance:window:LINE-B,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
